,id,type,gantryType,lat,lng,pilenumber,status,startTime,endTime,etcGantryHex,POWERSUPPLYNODENAME,POWERSUPPLYNODEDISTANCE,name,boundaryType,tollIntervals,rsuManUID,rsuModel,rsuID,VPLRUID,VPLRModel,VPLRID,HDVUID,HDVModel,HDVID,controllerUID,controllerModel,controllerID,controllerSysVer,serverUID,serverModel,serverID,serverSysVer,serverDBVer,vehDetectorUID,vehDetectorModel,vehDetectorID,weatherDetectorUID,weatherDetectorModel,weatherDetectorID,classDetectorUID,classDetectorModel,classDetectorID,loadDetectionUID,loadDetectionModel,loadDetectionID,tempControllerUID,tempControllerModel,tempControllerID,powerControllerUID,powerControllerModel,powerControllerID,safeEquipUID,safeEquipModel,safeEquipID,lineType,operators,dataMergePoint,imei,ip,snmpVersion,snmpPort,community,securityName,securityLevel,authentication,authKey,encryption,secretKey,operation,COMPANYNAME,station,LANE,stationfx,LANEFX,note,PICNUM,NUM,SORT,LANECOUNT,gantrySign,reEtcGantryHex,agencyGantryIds,REGIONALISMCODE,COUNTRYNAME,REGIONNAME
0,G000561001000110010,1,1,35.597013,110.573408,839.165,2,2020/1/1,2025/10/27,6E7531,工业园匝道,1633,禹门口省界-工业园匝道,1,G000561001000110,0xA2,万集WER09-01i-R,523B193600048005|523B193600047056|523B193600048367|523B193600048505,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193977|D63193950|D63193931,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113858|D75113864,0x04,研祥MEC-5071,E6GGSJ15042976|E6GGSJ05041226,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293916N-001|98RHP5293914N-002|98RHP5293876N-002|98RHP5293870N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,12,2A,1,30001,2|1,G5 840 A,6F7532,,610581,韩城市,渭南市
1,G000561001000120010,1,1,35.596618,110.572614,839.195,2,2020/1/1,2025/10/27,6F7532,工业园匝道,2683,工业园匝道-禹门口省界,2,G000561001000120,0xA2,万集WER09-01i-R,523B193600048240|523B193600048492|523B193600048257|523B193600048020,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193841|D63193917|D63193897,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113867|D75113852,0x04,研祥MEC-5071,Y6GGSJ14031527|E6GGSJ15042928,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293916N-001|98RHP5293914N-002|98RHP5293876N-002|98RHP5293870N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,11,2B,1,30002,2|1,G5 838 B,6E7531,,610581,韩城市,渭南市
2,G000561001000210010,2,1,35.579668,110.539242,842.84,2,2020/1/1,2025/10/27,6C7533,工业园匝道,505,工业园匝道-龙门匝道,,G000561001000210,0xA2,万集WER09-01i-R,523B193600048057|523B193600048015|523B193600047996|523B193600048455,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193980|D63193903|D63193836,0X01,海康威视iDS-TCV900-A6ER/25CH,|D75113875,0x04,研祥MEC-5071,Y6GGSJ1401580|E6GGSJ05041237,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293916N-001|98RHP5293914N-002|98RHP5293876N-002|98RHP5293870N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,4A,1,30003,2|1,G5 844 A,6D7534,,610581,韩城市,渭南市
3,G000561001000220010,2,1,35.57888,110.538496,842.87,2,2020/1/1,2025/10/27,6D7534,工业园匝道,1375,龙门匝道-工业园匝道,,G000561001000220,0xA2,万集WER09-01i-R,523B193600048123|523B193600045821|523B193600048376|523B193600048274,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193837|D63193952|D63193982,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113883|D75113853,0x04,研祥MEC-5071,E6GGSJ15043001|E6GGSI21038668,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293916N-001|98RHP5293914N-002|98RHP5293876N-002|98RHP5293870N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,4B,1,30004,2|1,G5 840 B,6C7533,,610581,韩城市,渭南市
4,G000561001000310010,0,1,35.551721,110.51287,846.78,2,2020/1/1,2025/10/27,6C7535,龙门匝道,2535,龙门匝道-韩城匝道,,G000561001000310,0xA2,万集WER09-01i-R,523B193600048263|523B193600048024|523B193600044291523B193600047876,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193806|D63193813|D63193808,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113866|D75113854,0x04,研祥MEC-5071,Y6GGSJ14031424|E6GGSJ05041152,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293873N-002|98RHP5293887N-001|98RHP5293882N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,6A,1,30005,2|1,G5 856 A,6D7536,,610581,韩城市,渭南市
5,G000561001000320010,0,1,35.550925,110.51279,846.81,2,2020/1/1,2025/10/27,6D7536,龙门匝道,2950,韩城匝道-龙门匝道,,G000561001000320,0xA2,万集WER09-01i-R,523B193600048345|523B193600048393|523B193600048516|523B193600048019,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193927|D63193807|D63193943,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113880|D75113868,0x04,研祥MEC-5071,E6GGSI21038715|E6GGSI21038680,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293873N-002|98RHP5293887N-001|98RHP5293882N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,6B,1,30006,2|1,G5 844 B,6C7535,,610581,韩城市,渭南市
6,G000561001000410010,0,1,35.458802,110.471606,858.15,2,2020/1/1,2025/10/27,6C7537,韩城匝道,1660,韩城匝道-芝川匝道,,G000561001000410,0xA2,万集WER09-01i-R,523B193600046908|523B193600048188|523B193600048478|523B193600044479,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193812|D63193932|D63193801,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113855|D75113863,0x04,研祥MEC-5071,E6GGSJ05041248|E6GGSI21038727,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293880N-001|98RHP5293873N-001|98RHP5293889N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,8A,1,30007,2|1,G5 873 A,6D7538,,610581,韩城市,渭南市
7,G000561001000420010,0,1,35.457992,110.471542,858.2,2,2020/1/1,2025/10/27,6D7538,韩城匝道,2260,芝川匝道-韩城匝道,,G000561001000420,0xA2,万集WER09-01i-R,523B193600048405|523B193600048168|523B193600048314|523B193600048153,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193811|D63193904|D63193942,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193709|D75113869,0x04,研祥MEC-5071,E6GGSJ05041070|E6GGSI21038694,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293880N-001|98RHP5293873N-001|98RHP5293889N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,8B,1,30008,2|1,G5 856 B,6C7537,,610581,韩城市,渭南市
8,G000561001000510010,0,1,35.330537,110.373993,875.612,2,2020/1/1,2025/10/27,6C7539,芝川匝道,1200,芝川匝道-合阳东枢纽,,G000561001000510,0xA2,万集WER09-01i-R,523B193600048494|523B193600048303|523B193600048332|523B193600048375,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193832|D63193798|D63193898,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113861|D75113871,0x04,研祥MEC-5071,E6GGSJ15042956|E6GGSI21038665,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293896N-001|98RHP5293896N-002|98RHP5293880N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,10A,1,30009,2|1,G5887A,6D753A,,610581,韩城市,渭南市
9,G000561001000520010,0,1,35.329892,110.373463,875.65,2,2020/1/1,2025/10/27,6D753A,芝川匝道,1530,合阳东枢纽-芝川匝道,,G000561001000520,0xA2,万集WER09-01i-R,523B193600048445|523B193600048333|523B193600048530|523B193600048149,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193844|D63193839|D63193940,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113850|D75113872,0x04,研祥MEC-5071,Y6GGSJ14031377|E6GGSJ05041147,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293896N-001|98RHP5293896N-002|98RHP5293880N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,10B,1,30010,2|1,G5 873 B,6C7539,,610581,韩城市,渭南市
